Country/Area,Year,Unit, Final consumption expenditure , Household consumption expenditure (including Non-profit institutions serving households) , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Changes in inventories ,Exports of goods and services,Imports of goods and services,Gross Domestic Product (GDP)
Micronesia (Federated States of),2022,US$,339760621.61,200492406.02,139268214.28,90154302.95,84771956.95,5382344.83,94244646.39,224244874.58,314218067.98
Middle Africa,2022,US$,184554536309.04,151948342551.61,31506730548.29,78742037372.41,78537232091.21,1570125777.84,78605210003.95,87217594448.62,254834216036.72
Monaco,2022,US$,6452130613.14,4450745013.52,2001385599.64,2206987655.54,2100475227.91,106512428.67,2891436053.07,3214624720.25,8335935918.21
Mongolia,2022,US$,12275581646.00,9373371751.44,2902209432.33,6690569300.03,4634110828.07,2056456790.17,7813442274.80,12368186111.58,14441963152.94
Montenegro,2022,US$,4960914058.04,4122855100.70,853264344.44,1535593615.08,1169046431.89,-428777649.52,2432142964.46,3797616605.47,4867384310.51
Montserrat,2022,US$,113216567.35,62958665.97,50257901.80,20822446.02,20822446.02, ... ,19826647.67,57256099.05,80971745.26
Morocco,2022,US$,103539350231.26,77810960322.42,25728585069.39,37255193550.11,34030735991.31,3295141820.39,53588328412.36,57315708182.39,136386501072.70
Mozambique,2022,US$,18573754186.73,13762905563.48,4706094074.29,9339234575.13,9339234575.13, ... ,6963293879.09,15376208008.35,19464182761.73
Myanmar,2022,US$,56747149536.55,40269181262.85,21502408178.61,22708458665.23,21637686339.87,1070772325.36,27701729614.53,21495522801.78,78243496113.90
Namibia,2022,US$,12918728900.92,9747569146.53,3171159754.40,1943731371.74,1622208094.61,321523277.13,4372105244.48,8047196677.23,11187391526.68
Nauru,2022,US$,178549078.74,96283148.07,82265932.68,22030173.96,22064787.60,-34613.68,10936905.76,109663663.54,113944938.06
Nepal,2022,US$,31278284058.73,28481705630.57,2795136730.35,14269017347.69,11035784156.06,3270521000.20,2194671363.11,15558116961.31,32142056494.60
Netherlands,2022,US$,603626448750.96,381958134562.43,221553139821.70,185150466087.66,183727770331.54, ... ,786584560429.58,679529531747.46,894368057443.91
New Caledonia,2022,US$,9051096019.60,6689449561.71,2362927256.63,2884645543.77,2594954220.18, ... ,2175312565.91,3451882387.65,8674478060.70
New Zealand,2022,US$,177646176199.44,132167864464.23,45178616347.68,54883142583.64,54005152802.84,-436102766.87,47536663269.44,58728606582.39,220972769191.79
