,gdp_USD,gdp_per_capita,gdp_per_hour
53,,20628.69,12.338
54,,46200,28.9948
55,,8629.53,6.0031
56,,45269.5,28.1543
57,,1395.16,1.075255216
58,,21478.82,13.4152
59,,67948.89,42.5241
60,,33305.63,21.0745
61,,1025.3,1.0847
62,,7141.96,3.8077
63,,744.6,0.6538
64,,886.27,0.7462
65,,14155.17,8.5895
66,,8489.72,6.0031
67,,20323.15,12.3386
68,,2042.64,1.5935
69,,3473.36,2.3358
